Ejercicio,Icono Unicode,Descripción,Categoría,Grupo Muscular,Elemento,Nivel,Unnamed: 7
Escaladores de montaña con bandas,🏃‍♀️,"En posición de plancha, coloca una banda elástica alrededor de los pies y lleva alternativamente cada rodilla hacia el pecho.",Aeróbico,Abdomen,Banda elástica,Intermedio,
Press de pecho con barra,🏋️,Acuéstate en un banco con una barra y empuja la barra hacia arriba hasta estirar los brazos.,Tren superior,Pecho|Brazos,Barra,Intermedio,
Plancha con estiramiento de brazo,🧘‍♂️,"En posición de plancha, levanta un brazo y estíralo hacia adelante, manteniendo el equilibrio.",Zona media,Abdomen|Brazos,Ninguno,Intermedio,
Saltos en caja con peso,📦,Sujeta una mancuerna en cada mano y salta sobre una caja o plataforma.,Aeróbico,Piernas|Brazos,Mancuernas,Avanzado,
Flexiones con remo,🏋️‍♀️,"En posición de flexión con una mancuerna en cada mano, realiza una flexión y luego un remo llevando la mancuerna hacia el abdomen.",Tren superior,Pecho|Brazos,Mancuernas,Avanzado,
Sentadilla con banda elástica y salto,🏋️‍♀️,"Coloca una banda elástica alrededor de las piernas, realiza una sentadilla y al subir salta lo más alto posible.",Aeróbico,Piernas|Glúteos,Banda elástica,Avanzado,
Remo con TRX,🏋️,Sujeta las asas del TRX y tira de tu cuerpo hacia las asas mientras mantienes el cuerpo en línea recta.,Tren superior,Espalda|Brazos,TRX,Intermedio,
Plancha con elevación de pierna y banda,🧘‍♂️,"En posición de plancha, coloca una banda elástica alrededor de los pies y levanta una pierna.",Zona media,Abdomen|Piernas,Banda elástica,Intermedio,
Escaladores de montaña con salto,🏃‍♂️,"En posición de plancha, lleva alternativamente cada rodilla hacia el pecho y salta con ambos pies.",Aeróbico,Abdomen,Ninguno,Avanzado,
Sentadilla con salto y mancuernas,🏋️‍♀️,"Sujeta una mancuerna en cada mano, realiza una sentadilla y al subir salta lo más alto posible.",Aeróbico,Piernas|Brazos,Mancuernas,Avanzado,
Press de pecho con TRX,🏋️,Sujeta las asas del TRX y empuja tu cuerpo hacia arriba desde una posición de plancha.,Tren superior,Pecho|Brazos,TRX,Intermedio,
Plancha con estiramiento de pierna y banda,🧘‍♂️,"En posición de plancha, coloca una banda elástica alrededor de los pies y estira una pierna hacia atrás.",Zona media,Abdomen|Piernas,Banda elástica,Intermedio,
Burpees con kettlebell,🏋️,"Desde una posición de pie, sujeta una kettlebell, agáchate, haz una flexión de brazos, vuelve a ponerte de pie y salta.",Aeróbico,Piernas|Brazos,Kettlebell,Avanzado,
Sentadilla con salto y press de hombros,🏋️‍♀️,"Sujeta una mancuerna en cada mano a la altura de los hombros, realiza una sentadilla y al subir salta y empuja las pesas hacia arriba.",Tren inferior,Piernas|Hombros,Mancuernas,Avanzado,
Sentadilla con salto,🏋️‍♀️,"Desde una posición de pie, baja en una sentadilla y luego salta explosivamente.",Aeróbico,Piernas,Ninguno,Intermedio,
Flexiones,💪,"Colócate en posición de plancha y baja el pecho hacia el suelo, luego empuja hacia arriba.",Tren superior,Pecho|Brazos,Ninguno,Intermedio,
Plancha,🧘‍♂️,Mantén una posición horizontal con el cuerpo recto y los antebrazos apoyados en el suelo.,Zona media,Abdomen,Ninguno,Principiante,
Burpees,🏃‍♂️,"Desde una posición de pie, agáchate, haz una flexión, vuelve a ponerte de pie y salta.",Aeróbico,Piernas|Brazos,Ninguno,Avanzado,
Escaladores de montaña,🏔️,"En posición de plancha, lleva alternativamente cada rodilla hacia el pecho.",Aeróbico,Abdomen|Piernas,Ninguno,Intermedio,
Zancadas,🏋️,Da un paso adelante y baja la cadera hasta que ambas rodillas estén dobladas en un ángulo de 90 grados.,Tren inferior,Piernas|Glúteos,Ninguno,Principiante,
Sentadilla búlgara,🦵,Coloca una pierna en una banca detrás de ti y baja la cadera en una sentadilla.,Tren inferior,Piernas|Glúteos,Banca,Intermedio,
Flexiones diamante,🔺,Coloca las manos juntas formando un diamante debajo del pecho y realiza una flexión.,Tren superior,Pecho|Tríceps,Ninguno,Avanzado,
Superman,🦸‍♂️,Acuéstate boca abajo y levanta brazos y piernas simultáneamente.,Zona media,Espalda baja,Ninguno,Principiante,
Plancha lateral,👉,Mantén una posición lateral con el cuerpo recto apoyado en un antebrazo.,Zona media,Abdomen|Oblicuos,Ninguno,Intermedio,
Saltos de tijera,✂️,"Desde una posición de pie, salta y abre las piernas y brazos en el aire.",Aeróbico,Piernas|Brazos,Ninguno,Principiante,
Remo renegado,🏋️‍♂️,"En posición de plancha con una mancuerna en cada mano, realiza un remo alternado.",Tren superior,Espalda|Brazos,Mancuernas,Avanzado,
Abdominales bicicleta,🚴‍♂️,Acuéstate boca arriba y lleva alternativamente el codo hacia la rodilla opuesta.,Zona media,Abdomen|Oblicuos,Ninguno,Intermedio,
Press militar,🏋️‍♀️,"De pie, empuja una barra desde los hombros hasta estirar los brazos completamente.",Tren superior,Hombros|Brazos,Barra,Intermedio,
Elevaciones laterales,🏋️,"De pie, levanta mancuernas lateralmente hasta la altura de los hombros.",Tren superior,Hombros,Mancuernas,Principiante,
Peso muerto,🏋️‍♂️,Levanta una barra desde el suelo hasta la altura de las caderas manteniendo la espalda recta.,Tren inferior,Espalda baja|Piernas|Glúteos,Barra,Intermedio,
Press de banca,🏋️‍♀️,Acuéstate en un banco y empuja una barra desde el pecho hasta estirar los brazos.,Tren superior,Pecho|Brazos,Barra|Banco,Intermedio,
Russian twists,🧘‍♂️,"Sentado en el suelo, gira el torso llevando las manos de un lado a otro.",Zona media,Abdomen|Oblicuos,Ninguno,Intermedio,
Swing con kettlebell,🏋️,Sujeta una kettlebell con ambas manos y balancéala entre las piernas hasta la altura del pecho.,Aeróbico,Piernas|Espalda baja|Hombros,Kettlebell,Intermedio,
Plancha con elevación de pierna,🧘‍♂️,"En posición de plancha, levanta una pierna hacia arriba manteniendo el cuerpo recto.",Zona media,Abdomen|Glúteos,Ninguno,Intermedio,
Mountain climbers cruzados,⛰️,"En posición de plancha, lleva la rodilla derecha hacia el codo izquierdo y viceversa.",Aeróbico,Abdomen|Piernas|Oblicuos,Ninguno,Intermedio,
Flexiones explosivas,💥,Realiza una flexión y al subir impulsa las manos para despegar del suelo.,Tren superior,Pecho|Tríceps,Ninguno,Avanzado,
Sentadilla sumo,🦍,Coloca los pies más anchos que los hombros y baja en una sentadilla profunda.,Tren inferior,Piernas|Glúteos|Aductores,Ninguno,Intermedio,
Puente de glúteos,🌉,"Acuéstate boca arriba, dobla las rodillas y levanta las caderas hacia el techo.",Tren inferior,Glúteos|Piernas|Espalda baja,Ninguno,Principiante,
Remo con mancuernas,🏋️‍♀️,"De pie, inclina el torso hacia adelante y lleva las mancuernas hacia el abdomen.",Tren superior,Espalda|Brazos,Mancuernas,Intermedio,
Tijeras verticales,✂️,Acuéstate boca arriba y alterna las piernas hacia arriba y hacia abajo.,Zona media,Abdomen|Piernas,Ninguno,Intermedio,
Flexiones declinadas,🧗‍♂️,Coloca los pies en una superficie elevada y realiza una flexión.,Tren superior,Pecho|Tríceps,Ninguno,Avanzado,
Saltos en caja,📦,Salta con ambos pies sobre una caja o plataforma.,Aeróbico,Piernas|Glúteos,Caja,Intermedio,
Plancha con toque de hombro,🧘‍♂️,"En posición de plancha, toca alternativamente cada hombro con la mano opuesta.",Zona media,Abdomen|Brazos|Hombros,Ninguno,Intermedio,
Elevaciones de talones,🐄,"De pie, eleva los talones para ponerte de puntillas.",Tren inferior,Pantorrillas,Ninguno,Principiante,
Abdominales en V,✅,Acuéstate boca arriba y levanta simultáneamente el torso y las piernas formando una V.,Zona media,Abdomen|Piernas,Ninguno,Avanzado,
Flexiones arqueras,🏹,Realiza una flexión desplazando el peso hacia un brazo mientras el otro se estira lateralmente.,Tren superior,Pecho|Tríceps,Ninguno,Avanzado,
Press Arnold,🏋️‍♂️,"Sujeta mancuernas a la altura de los hombros, rota las palmas hacia afuera mientras empujas hacia arriba.",Tren superior,Hombros|Brazos,Mancuernas,Intermedio,
Sentadilla con balón medicinal,🏀,Sujeta un balón medicinal a la altura del pecho y realiza una sentadilla.,Tren inferior,Piernas|Glúteos,Balón medicinal,Principiante,
Burpee con salto de caja,📦,"Realiza un burpee y al levantarte, salta sobre una caja.",Aeróbico,Piernas|Brazos,Caja,Avanzado,
Plancha con remo,🧘‍♂️,"En posición de plancha, realiza un remo con una mancuerna hacia el abdomen.",Zona media,Abdomen|Brazos,Mancuernas,Avanzado,
Sentadilla pistola,🔫,Realiza una sentadilla en una pierna mientras la otra se estira hacia adelante.,Tren inferior,Piernas|Glúteos,Ninguno,Avanzado,
Caminata del oso,🐻,Camina hacia adelante utilizando las manos y los pies sin tocar las rodillas en el suelo.,Aeróbico,Piernas|Brazos|Abdomen,Ninguno,Intermedio,
Flexiones de pica,🔻,"Desde una posición de flexión, eleva las caderas y realiza una flexión de hombros.",Tren superior,Hombros|Tríceps,Ninguno,Avanzado,
Plancha con elevación de brazo,🧘‍♂️,"En posición de plancha, levanta un brazo hacia adelante manteniendo el cuerpo recto.",Zona media,Abdomen|Brazos,Ninguno,Intermedio,
Saltos al cajón lateral,📦,Salta lateralmente sobre un cajón o plataforma.,Aeróbico,Piernas|Glúteos,Caja,Intermedio,
Elevaciones frontales,🏋️‍♂️,"De pie, levanta mancuernas hacia el frente hasta la altura de los hombros.",Tren superior,Hombros,Mancuernas,Principiante,
Puente de glúteos con una pierna,🌉,"Acuéstate boca arriba, levanta una pierna y empuja las caderas hacia el techo.",Tren inferior,Glúteos|Piernas|Espalda baja,Ninguno,Intermedio,
Sentadilla goblet,🏋️,Sujeta una mancuerna con ambas manos a la altura del pecho y realiza una sentadilla.,Tren inferior,Piernas|Glúteos,Mancuernas,Principiante,
Press de banca con mancuernas,🏋️‍♀️,Acuéstate en un banco y empuja las mancuernas desde el pecho hasta estirar los brazos.,Tren superior,Pecho|Brazos,Mancuernas|Banco,Intermedio,
Press de hombros con kettlebell,🏋️‍♂️,Sujeta una kettlebell a la altura del hombro y empuja hacia arriba hasta estirar el brazo.,Tren superior,Hombros|Brazos,Kettlebell,Intermedio,
Plancha con rotación de cadera,🧘‍♂️,"En posición de plancha, rota las caderas de un lado a otro.",Zona media,Abdomen|Oblicuos,Ninguno,Intermedio,
Remo al mentón con barra,🏋️,Sujeta una barra con ambas manos y tira hacia arriba hasta el mentón.,Tren superior,Hombros|Brazos,Barra,Intermedio,
Abdominales con balón medicinal,🏀,"Acuéstate boca arriba, sujeta un balón medicinal y realiza un crunch.",Zona media,Abdomen|Brazos,Balón medicinal,Intermedio,
Sentadilla con salto y balón medicinal,🏀,"Sujeta un balón medicinal a la altura del pecho, realiza una sentadilla y al subir salta lo más alto posible.",Aeróbico,Piernas|Glúteos|Hombros,Balón medicinal,Avanzado,
Flexiones hindúes,🙏,"Desde una posición de flexión, eleva las caderas y lleva la cabeza hacia el suelo en un arco.",Tren superior,Pecho|Hombros|Tríceps,Ninguno,Avanzado,
Plancha con elevación de pierna y brazo,🧘‍♂️,"En posición de plancha, levanta una pierna y el brazo opuesto, manteniendo el equilibrio.",Zona media,Abdomen|Brazos|Piernas,Ninguno,Avanzado,
Escaladores de montaña con mancuernas,🏃‍♀️,"En posición de plancha con una mancuerna en cada mano, lleva alternativamente cada rodilla hacia el pecho.",Aeróbico,Abdomen|Piernas|Brazos,Mancuernas,Intermedio,
Flexiones con pies elevados,🧗‍♂️,Acuéstate boca abajo con los pies elevados en una plataforma y realiza una flexión de brazos.,Tren superior,Pecho|Tríceps,Ninguno,Avanzado,
Plancha con movimiento lateral,🧘‍♂️,"En posición de plancha, mueve las manos y los pies lateralmente de un lado a otro.",Zona media,Abdomen|Brazos|Piernas,Ninguno,Intermedio,
Levantamiento de cadera con balón medicinal,⚽,"Acuéstate boca arriba con las rodillas dobladas y los pies en el suelo, sujeta un balón medicinal con ambas manos y levanta las caderas.",Tren inferior,Glúteos|Piernas|Espalda baja,Balón medicinal,Intermedio,
Peso muerto a una pierna,🏋️‍♀️,Sujeta una mancuerna en cada mano y baja el torso mientras levantas una pierna hacia atrás.,Tren inferior,Piernas|Glúteos,Mancuernas,Avanzado,
Flexiones con mancuernas,🏋️,Acuéstate boca abajo con una mancuerna en cada mano y realiza una flexión de brazos.,Tren superior,Pecho|Brazos,Mancuernas,Intermedio,
Plancha con elevación de cadera,🧘‍♂️,"En posición de plancha, levanta las caderas hacia el techo y luego bájalas nuevamente.",Zona media,Abdomen|Piernas|Espalda baja,Ninguno,Intermedio,
Remo con banda elástica de pie,🏋️,Sujeta una banda elástica con ambas manos y tira de la banda hacia tu abdomen mientras estás de pie.,Tren superior,Espalda|Brazos,Banda elástica,Principiante,
Saltos en caja con una pierna,📦,Salta sobre una caja o plataforma con una pierna a la vez.,Aeróbico,Piernas|Glúteos,Caja,Avanzado,
Press de hombros con balón medicinal,🏋️‍♀️,Sujeta un balón medicinal con ambas manos a la altura de los hombros y empuja hacia arriba hasta estirar los brazos.,Tren superior,Hombros|Brazos,Balón medicinal,Intermedio,
Zancadas con banda elástica,🏋️‍♀️,Coloca una banda elástica alrededor de las piernas y realiza zancadas.,Tren inferior,Piernas|Glúteos,Banda elástica,Intermedio,
Burpees con mancuernas,🏋️,"Desde una posición de pie, sujeta una mancuerna en cada mano, agáchate, haz una flexión de brazos, vuelve a ponerte de pie y salta.",Aeróbico,Piernas|Brazos|Pecho,Mancuernas,Avanzado,
Plancha con toque de rodilla,🧍‍♂️,"En posición de plancha, levanta una mano y toca la rodilla opuesta, luego cambia de lado.",Zona media,Abdomen|Brazos|Piernas,Ninguno,Intermedio,
Flexiones inclinadas con balón medicinal,🧗‍♂️,Acuéstate boca abajo con las manos elevadas en un balón medicinal y realiza una flexión de brazos.,Tren superior,Pecho|Tríceps,Balón medicinal,Intermedio,
Sentadilla con salto y kettlebell,🏋️‍♀️,"Sujeta una kettlebell con ambas manos a la altura del pecho, realiza una sentadilla y al subir salta lo más alto posible.",Aeróbico,Piernas|Glúteos|Brazos,Kettlebell,Avanzado,
Escaladores de montaña con bandas,🏃‍♀️,"En posición de plancha, coloca una banda elástica alrededor de los pies y lleva alternativamente cada rodilla hacia el pecho.",Aeróbico,Abdomen|Piernas|Glúteos,Banda elástica,Intermedio,
Press de pecho con barra,🏋️,Acuéstate en un banco con una barra y empuja la barra hacia arriba hasta estirar los brazos.,Tren superior,Pecho|Tríceps,Barra|Banco,Intermedio,
Plancha con estiramiento de brazo,🧘‍♂️,"En posición de plancha, levanta un brazo y estíralo hacia adelante, manteniendo el equilibrio.",Zona media,Abdomen|Brazos|Piernas,Ninguno,Intermedio,
Saltos en caja con peso,📦,Sujeta una mancuerna en cada mano y salta sobre una caja o plataforma.,Aeróbico,Piernas|Brazos,Mancuernas|Caja,Avanzado,
Flexiones con remo,🏋️‍♀️,"En posición de flexión con una mancuerna en cada mano, realiza una flexión y luego un remo llevando la mancuerna hacia el abdomen.",Tren superior,Pecho|Brazos|Espalda,Mancuernas,Avanzado,
Sentadilla con banda elástica y salto,🏋️‍♀️,"Coloca una banda elástica alrededor de las piernas, realiza una sentadilla y al subir salta lo más alto posible.",Aeróbico,Piernas|Glúteos|Abdomen,Banda elástica,Avanzado,
Remo con TRX,🏋️,Sujeta las asas del TRX y tira de tu cuerpo hacia las asas mientras mantienes el cuerpo en línea recta.,Tren superior,Espalda|Brazos,TRX,Intermedio,
Plancha con elevación de pierna y banda,🧘‍♂️,"En posición de plancha, coloca una banda elástica alrededor de los pies y levanta una pierna.",Zona media,Abdomen|Piernas|Glúteos,Banda elástica,Intermedio,
Escaladores de montaña con salto,🏃‍♂️,"En posición de plancha, lleva alternativamente cada rodilla hacia el pecho y salta con ambos pies.",Aeróbico,Abdomen|Piernas|Glúteos,Ninguno,Avanzado,
